molecules_names,smiles_formats
mol232,CC[C@@H]1[C@@H](CC)NCC[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol80,Nc1nccc(-c2cnc([C@H]3CCN[C@](O)(C(F)(F)F)C3)s2)n1
mol159,CC(C)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol188,CS[C@@]1(S)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol298,CCS[C@@H]1C[C@@H](c2ncc(-c3nc(N)nc([N+](=O)[O-])c3OC)s2)[C@H](C)[C@@H](C)N1
mol122,CCCNC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol56,CCO[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol87,CCOC(=O)[C@]1(O)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol150,Nc1nc(-c2cnc([C@@H]3CCNC(C4CC4)(C4CC4)C3)s2)cc([N+](=O)[O-])n1
mol24,C[C@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol296,CCC1(CC)CN[C@H](SC)C[C@H]1c1ncc(-c2nc(N)nc([N+](=O)[O-])c2OC)s1
mol247,COC(=O)[C@H]1C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3SC)s2)C[C@@H](C)N1
mol181,Nc1nc(-c2cnc([C@H]3CCN[C@@H](C(=O)O)C3)s2)cc([N+](=O)[O-])n1
mol58,Nc1nccc(-c2cnc([C@H]3CCNC(F)(F)C3)s2)n1
mol89,Nc1nccc(-c2cnc([C@H]3CCN[C@](O)([N+](=O)[O-])C3)s2)n1
mol157,CCCC[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol23,Nc1nccc(-c2cnc([C@@H]3CCN[C@H](C4CC4)C3)s2)n1
mol291,CCC1(CC)CN[C@H](F)C[C@H]1c1ncc(-c2nc(N)nc([N+](=O)[O-])c2OC)s1
mol240,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)O)C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol186,Nc1nc(-c2cnc([C@H]3CCNC(S)(S)C3)s2)cc([N+](=O)[O-])n1
mol9,C[C@H]([C@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1)C(C)(C)C
mol251,C[C@H]1CN[C@H](I)C=C1c1ncc(-c2cc(C#N)nc(N)n2)s1
mol197,Nc1nc(-c2cnc([C@H]3CCN[C@@](Cl)(S(=O)(=O)c4ccccc4)C3)s2)cc([N+](=O)[O-])n1
mol32,CC1(C)C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol146,CC(C)[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol256,CO[C@@H]1C[C@@H](c2ncc(-c3cc(C#N)nc(N)n3)s2)[C@@H](C)CN1
mol190,CS(=O)(=O)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol35,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](F)C3)s2)n1
mol141,CCCC[C@@H]1CNCC[C@H]1c1ncc(-c2cc([N+](=O)[O-])nc(N)n2)s1
mol287,CCCCC1(CCCC)CNCC[C@H]1c1ncc(-c2nc(N)ncc2OCC)s1
mol98,Nc1ncc(S)c(-c2cnc(C3CCNCC3)s2)n1
mol49,CS(=O)(=O)[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol300,COc1c(-c2cnc([C@@H]3C[C@@H](OC)N[C@H](C)[C@H]3C)s2)nc(N)nc1[N+](=O)[O-]
mol258,C[C@H]1CN[C@H](Oc2ccccc2)C[C@H]1c1ncc(-c2cc(C#N)nc(N)n2)s1
mol289,CCC1(CC)CNCC[C@H]1c1ncc(-c2nc(N)ncc2OC)s1
mol224,CCSc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol96,Nc1ncc(N)c(-c2cnc(C3CCNCC3)s2)n1
mol47,Nc1nccc(-c2cnc([C@H]3CCN[C@@H](S)C3)s2)n1
mol133,Nc1nc(-c2cnc([C@@H]3CCNC[C@H]3C3CC3)s2)cc([N+](=O)[O-])n1
mol223,CSc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol91,CCN(CC)c1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol134,Nc1nc(-c2cnc([C@@H]3CCNCC3(C3CC3)C3CC3)s2)cc([N+](=O)[O-])n1
mol2734,CCSc1c(C=O)nc(N)nc1-c1cnc([C@@H]2CCN[C@H](C)[C@H]2C2CC2)s1
mol7,CC[C@@H]1CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol199,Nc1nc(-c2cnc(C3=C[C@](I)(S(=O)(=O)c4ccccc4)NC=C3)s2)cc([N+](=O)[O-])n1
mol148,Nc1nc(-c2cnc([C@@H]3CCN[C@@H](CC4CC4)C3)s2)cc([N+](=O)[O-])n1
mol101,CCCSc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol75,Nc1nccc(-c2cnc([C@H]3CCN[C@@](O)(S(=O)(=O)c4ccccc4)C3)s2)n1
mol216,CCNc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol106,CC(=O)Oc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol72,CCS(=O)(=O)C1(S(=O)(=O)CC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol211,CCN(CC)c1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol174,N#CC1(C#N)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol108,CCCC(=O)Oc1cnc(N)nc1-c1cnc(C2CCNCC2)s1
mol218,Nc1nc(-c2cnc(C3CCNCC3)s2)c(O)c([N+](=O)[O-])n1
mol173,N#C[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol22,CCCC[C@@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol156,CCCC1(CCC)C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol290,CCC1(CC)CNCC[C@H]1c1ncc(-c2nc(N)nc([N+](=O)[O-])c2OC)s1
mol241,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)OC)C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol187,CS[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol25,CC[C@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol151,C[C@H]1C[C@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol297,CCS[C@@H]1C[C@@H](c2ncc(-c3nc(N)nc([N+](=O)[O-])c3OC)s2)C(CC)(CC)CN1
mol246,CC[C@@H]1[C@@H](C)N[C@@H](C(=O)OC)C[C@H]1c1ncc(-c2nc(N)nc(C=O)c2SC)s1
mol180,CCCOC(=O)C1(C(=O)OCCC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol59,Nc1nccc(-c2cnc([C@H]3CCNC(C(F)(F)F)(C(F)(F)F)C3)s2)n1
mol88,CCCOC(=O)[C@]1(O)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol299,COc1c(-c2cnc([C@@H]3C[C@@H](O)N[C@H](C)[C@H]3C)s2)nc(N)nc1[N+](=O)[O-]
mol248,C[C@H]1CN[C@H](F)C[C@H]1c1ncc(-c2cc(C#N)nc(N)n2)s1
mol57,CCCO[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol123,CCCCNC(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol86,COC(=O)[C@]1(O)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol50,CCS(=O)(=O)[C@H]1C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol124,Nc1nc(-c2ccccc2)cc(-c2cnc(C3CCNCC3)s2)n1
mol233,CC[C@@H]1[C@@H](C)N[C@@H](F)C[C@H]1c1ncc(-c2cc(C=O)nc(N)n2)s1
mol81,Nc1nccc(-c2cnc([C@H]3CCN[C@](O)(C(Cl)(Cl)Cl)C3)s2)n1
mol158,CC(C)(C)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol189,CSC1(SC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol206,CCO[C@]1(O)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol111,N#Cc1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol65,CCOC(=O)C1(C(=O)OCC)C[C@@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol19,CC(C)(C)[C@@H]1C[C@H](c2ncc(-c3ccnc(N)n3)s2)CCN1
mol201,Nc1nc(-c2cnc([C@H]3CCN[C@@H](O)C3)s2)cc([N+](=O)[O-])n1
mol116,Nc1nc(C(=O)O)cc(-c2cnc(C3CCNCC3)s2)n1
mol62,Nc1nccc(-c2cnc([C@H]3CCNC(Cl)(Cl)C3)s2)n1
mol273,CCOc1c(C=O)nc(N)nc1-c1cnc([C@@H]2CCN[C@H](C)[C@H]2C2CC2)s1
mol164,Nc1nc(-c2cnc([C@H]3CCNC(C(F)(F)F)(C(F)(F)F)C3)s2)cc([N+](=O)[O-])n1
mol10,CC(C)(C)C1(C(C)(C)C)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol118,CCS(=O)(=O)c1cc(-c2cnc(C3CCNCC3)s2)nc(N)n1
mol208,CCOC1(OCC)C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol163,Nc1nc(-c2cnc([C@H]3CCN[C@@H](C(F)(F)F)C3)s2)cc([N+](=O)[O-])n1
mol17,CCCC1(CCC)CNCC[C@H]1c1ncc(-c2ccnc(N)n2)s1
mol219,COc1c(-c2cnc(C3CCNCC3)s2)nc(N)nc1[N+](=O)[O-]
mol172,Nc1nc(-c2cnc([C@H]3CCNC(Cl)(Cl)C3)s2)cc([N+](=O)[O-])n1
mol265,C[C@@H]1N[C@H](I)C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@H]1C
mol175,COC(=O)[C@H]1C[C@@H](c2ncc(-c3cc([N+](=O)[O-])nc(N)n3)s2)CCN1
mol262,C[C@@H]1N[C@H](F)C[C@@H](c2ncc(-c3nc(N)nc(C=O)c3O)s2)[C@H]1C
